Title,First Name,Last Name,Staff Email Address,Contact Phone,Role,Class Teacher Class,Subject,Class Allocation
Mr,Ada,Okonkwo,ada.okonkwo@school.com,8083197857,"Class Teacher, Subject Teacher",JSS 1 A,"Christian Religious Knowledge, Agricultural Science, Home Economics, Computer Science, Social Studies","JSS 1 C, JSS 1 B, JSS 2 C, JSS 3 A"
Mrs,Chidi,Adeyemi,chidi.adeyemi@school.com,8013561597,"Class Teacher, Subject Teacher",JSS 1 B,"Integrated Science, Agricultural Science, Literature","JSS 2 A, JSS 3 C, JSS 2 B, JSS 3 A"
Ms,Bisi,Musa,bisi.musa@school.com,8047295260,"Class Teacher, Subject Teacher",JSS 1 C,"English Language, Integrated Science, Christian Religious Knowledge, Social Studies, French Language","JSS 1 A, JSS 1 C, JSS 2 C, JSS 2 A, JSS 3 B"
Mr,Tunde,Bello,tunde.bello@school.com,8091030736,"Class Teacher, Subject Teacher",JSS 2 A,"English Language, Home Economics, Agricultural Science","JSS 3 A, JSS 1 B, JSS 1 C, JSS 3 C"
Mrs,Amara,Okafor,amara.okafor@school.com,8058537831,"Class Teacher, Subject Teacher",JSS 2 B,"Agricultural Science, Literature, French Language, Social Studies","JSS 1 B, JSS 2 B, JSS 3 A, JSS 2 C, JSS 3 B"
Ms,Emeka,Ibrahim,emeka.ibrahim@school.com,8047308985,"Class Teacher, Subject Teacher",JSS 2 C,"English Language, Christian Religious Knowledge, Agricultural Science, Home Economics, Literature","JSS 1 B, JSS 2 A, JSS 3 A, JSS 1 A, JSS 3 B"
Mr,Fatima,Mensah,fatima.mensah@school.com,8032969840,"Class Teacher, Subject Teacher",JSS 3 A,"Home Economics, Computer Science, Literature, Integrated Science","JSS 2 B, JSS 1 B, JSS 3 C, JSS 2 C"
Mrs,Olu,Diallo,olu.diallo@school.com,8014308421,"Class Teacher, Subject Teacher",JSS 3 B,"English Language, Computer Science, Social Studies, Integrated Science, Literature","JSS 3 C, JSS 2 A, JSS 2 C, JSS 1 C, JSS 1 A, JSS 1 B"
Ms,Zainab,Traore,zainab.traore@school.com,8029175900,"Class Teacher, Subject Teacher",JSS 3 C,"Integrated Science, French Language, Agricultural Science, Christian Religious Knowledge","JSS 2 C, JSS 2 A, JSS 3 C, JSS 3 B, JSS 3 A, JSS 2 B"
Mr,Kofi,Sani,kofi.sani@school.com,8028566572,Subject Teacher,,"Computer Science, English Language, Home Economics, French Language","JSS 2 B, JSS 3 A, JSS 3 C, JSS 2 A, JSS 1 C, JSS 1 B"
Mrs,Ngozi,Eze,ngozi.eze@school.com,8061642594,Subject Teacher,,"Literature, Christian Religious Knowledge, Integrated Science, Agricultural Science, Home Economics","JSS 1 C, JSS 3 A, JSS 2 B, JSS 1 A"
Ms,John,Okoro,john.okoro@school.com,8049392920,Subject Teacher,,"Literature, French Language, Social Studies, Agricultural Science","JSS 1 B, JSS 2 B, JSS 3 A, JSS 2 C, JSS 1 C, JSS 1 A"
Mr,Sara,Lawal,sara.lawal@school.com,8030513739,Subject Teacher,,"Computer Science, Literature, Agricultural Science, Home Economics","JSS 2 B, JSS 1 C, JSS 3 C, JSS 1 A, JSS 3 B, JSS 1 B"
Mrs,David,Balogun,david.balogun@school.com,8017774584,Subject Teacher,,"Computer Science, Agricultural Science, French Language, Social Studies","JSS 1 A, JSS 1 B, JSS 1 C, JSS 3 A, JSS 3 B"
Ms,Grace,Osei,grace.osei@school.com,8083793389,Subject Teacher,,"Christian Religious Knowledge, Social Studies, Home Economics","JSS 1 B, JSS 1 C, JSS 3 C, JSS 2 C, JSS 2 A"
